MOD,C1,C2,C3,C4,C5,R1,R2,R3,R4,R5,N1,N2,N3,N4,N5,N6,I1,I2,I3,I4,I5,I6,MEAN_COG,MEAN_REG,MEAN_NORM,MEAN_INT,MOD_bin,MOD_label,Mahalanobis,Mahalanobis_sq,is_outlier,COG_mean,REG_mean,NORM_mean,INT_mean,COG_mean_z,REG_mean_z,NORM_mean_z,INT_mean_z
2,4,4,5,4,6,2,1,5,5,4,5,6,6,5,5,6,5,1,5,2,5,2,4.6,3.4,5.5,3.33,0,EduNo,6.182125219516407,38.21867222978078,False,4.6,3.4,5.5,3.3333333333333335,1.3851556421513191,-0.9237445487106637,1.7662927900275767,-0.611718016733385
1,2,1,1,1,4,3,3,4,3,5,3,2,3,5,5,6,5,4,5,4,5,5,1.8,3.6,4.0,4.67,1,EduYes,4.189147018765327,17.54895274483043,False,1.8,3.6,4.0,4.666666666666667,-1.1037271942221618,-0.6773546266700249,-0.13271427464116006,0.6259313039854563
1,4,2,4,4,4,4,5,5,5,4,5,3,3,5,5,5,5,3,2,5,5,2,3.6,4.6,4.33,3.67,1,EduYes,3.991917135641052,15.935402417824662,False,3.6,4.6,4.333333333333333,3.6666666666666665,0.49626891487507613,0.5545949835331679,0.2892872952852255,-0.302305686553675
2,5,3,4,2,5,4,4,4,5,3,4,1,5,4,6,3,6,5,6,5,6,4,3.8,4.0,3.83,5.33,0,EduNo,5.327693637111138,28.384319490914507,False,3.8,4.0,3.8333333333333335,5.333333333333333,0.6740462603303246,-0.18457478258874763,-0.34371505960435283,1.2447559643448762
1,2,2,4,2,5,6,5,5,5,4,5,2,2,5,4,5,5,5,5,5,5,5,3.0,5.0,3.83,5.0,1,EduYes,4.12602412786273,17.024075103705403,False,3.0,5.0,3.8333333333333335,5.0,-0.037063121490669926,1.0473748276144457,-0.34371505960435283,0.9353436341651662
1,3,5,4,5,5,5,5,5,5,4,5,5,4,5,4,5,5,4,3,2,5,6,4.4,4.8,4.67,4.17,1,EduYes,4.0872428401442065,16.70555403431008,False,4.4,4.8,4.666666666666667,4.166666666666667,1.207378296696071,0.8009849055738067,0.7112888652116122,0.1618128087158908
1,1,1,2,2,3,4,5,4,5,5,3,2,5,6,4,4,5,3,3,3,4,2,1.8,4.6,4.0,3.33,1,EduYes,4.32646019210903,18.718257793904105,False,1.8,4.6,4.0,3.3333333333333335,-1.1037271942221618,0.5545949835331679,-0.13271427464116006,-0.611718016733385
1,5,1,1,1,6,6,4,4,4,4,4,5,4,4,4,5,1,3,3,3,3,4,2.8,4.4,4.33,2.83,1,EduYes,5.866771049565632,34.419002548021425,False,2.8,4.4,4.333333333333333,2.8333333333333335,-0.21484046694591874,0.30820506149253013,0.2892872952852255,-1.0758365120029505
1,2,3,5,5,6,4,4,4,4,4,5,5,4,6,4,5,6,4,6,1,2,3,4.2,4.0,4.83,3.67,1,EduYes,5.4659479771689865,29.876587289117737,False,4.2,4.0,4.833333333333333,3.6666666666666665,1.0296009512408222,-0.18457478258874763,0.9222896501748044,-0.302305686553675
1,3,3,5,3,1,1,4,4,4,2,6,3,4,4,4,4,4,6,3,2,2,6,3.0,3.0,4.17,3.83,1,EduYes,6.535478767885542,42.71248272548272,False,3.0,3.0,4.166666666666667,3.8333333333333335,-0.037063121490669926,-1.4165243927919409,0.07828651032203328,-0.1475995214638196
