MOD,C1,C2,C3,C4,C5,R1,R2,R3,R4,R5,N1,N2,N3,N4,N5,N6,I1,I2,I3,I4,I5,I6,MEAN_COG,MEAN_REG,MEAN_NORM,MEAN_INT,MOD_bin,MOD_label,Mahalanobis,Mahalanobis_sq,is_outlier,COG_mean,REG_mean,NORM_mean,INT_mean,COG_mean_z,REG_mean_z,NORM_mean_z,INT_mean_z
1,2,2,2,4,3,2,4,4,5,5,6,1,4,6,6,5,4,4,1,5,4,5,2.6,4.0,4.67,3.83,1,EduYes,5.412706274746178,29.297389216676645,False,2.6,4.0,4.666666666666667,3.8333333333333335,-0.3904188246633596,-0.13288814230810359,0.7036428844837177,-0.1347384716761566
2,5,4,4,4,4,1,6,5,5,4,5,4,5,4,5,5,5,5,4,4,4,5,4.2,4.2,4.67,4.5,0,EduNo,4.609794942139943,21.250209408579,False,4.2,4.2,4.666666666666667,4.5,1.032386751644922,0.1008669031977171,0.7036428844837177,0.4824165672169828
1,2,2,2,2,3,4,2,4,4,4,3,5,1,4,5,4,4,4,1,3,4,4,2.2,3.6,3.67,3.33,1,EduYes,4.461390817253082,19.904008024270123,False,2.2,3.6,3.6666666666666665,3.3333333333333335,-0.7461202187404299,-0.6003982333197445,-0.540335252363379,-0.5976047508460113
2,1,4,3,4,6,2,6,5,5,4,5,2,1,3,5,5,6,4,5,1,6,1,3.6,4.4,3.5,3.83,0,EduNo,6.461905918897206,41.75622810467875,False,3.6,4.4,3.5,3.8333333333333335,0.49883466052931635,0.3346219487035378,-0.7476649418378949,-0.1347384716761566
2,2,2,2,2,4,2,5,5,5,5,4,2,5,3,2,5,5,4,2,2,5,2,2.4,4.4,3.5,3.33,0,EduNo,4.984986682700004,24.850092226696393,False,2.4,4.4,3.5,3.3333333333333335,-0.5682695217018949,0.3346219487035378,-0.7476649418378949,-0.5976047508460113
1,2,3,4,1,1,3,3,4,5,5,2,5,5,4,3,5,5,5,6,1,2,5,2.2,4.0,4.0,4.0,1,EduYes,5.956310736721384,35.47763759238243,False,2.2,4.0,4.0,4.0,-0.7461202187404299,-0.13288814230810359,-0.12567587341434677,0.019550288047128148
2,4,4,5,4,6,2,1,5,5,4,5,6,6,5,5,6,5,1,5,2,5,2,4.6,3.4,5.5,3.33,0,EduNo,6.182125219516407,38.21867222978078,False,4.6,3.4,5.5,3.3333333333333335,1.388088145721992,-0.8341532788255652,1.7402913318562974,-0.5976047508460113
1,2,1,1,1,4,3,3,4,3,5,3,2,3,5,5,6,5,4,5,4,5,5,1.8,3.6,4.0,4.67,1,EduYes,4.189147018765327,17.54895274483043,False,1.8,3.6,4.0,4.666666666666667,-1.1018216128175005,-0.6003982333197445,-0.12567587341434677,0.6367053269402679
1,4,2,4,4,4,4,5,5,5,4,5,3,3,5,5,5,5,3,2,5,5,2,3.6,4.6,4.33,3.67,1,EduYes,3.991917135641052,15.935402417824662,False,3.6,4.6,4.333333333333333,3.6666666666666665,0.49883466052931635,0.5683769942093575,0.2889835055346849,-0.28902723139944175
2,5,3,4,2,5,4,4,4,5,3,4,1,5,4,6,3,6,5,6,5,6,4,3.8,4.0,3.83,5.33,0,EduNo,5.327693637111138,28.384319490914507,False,3.8,4.0,3.8333333333333335,5.333333333333333,0.6766853575678513,-0.13288814230810359,-0.3330055628888626,1.2538603658334069
1,2,2,4,2,5,6,5,5,5,4,5,2,2,5,4,5,5,5,5,5,5,5,3.0,5.0,3.83,5.0,1,EduYes,4.12602412786273,17.024075103705403,False,3.0,5.0,3.8333333333333335,5.0,-0.03471743058628929,1.035887085220999,-0.3330055628888626,0.9452828463868375
